,title,price,rating,reviews,availability
0,"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,320 ratings,Only 20 left in stock - order soon
1,PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,625 ratings,In Stock.
2,PlayStation 4 Slim 1TB Console - Black (Renewed),,4.4 out of 5 stars,"1,323 ratings",Only 1 left in stock - order soon.
3,Sony 85 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR85X90L- 2023 Model,,4.5 out of 5 stars,11 ratings,Only 19 left in stock - order soon
4,Sony 65 Inch Mini LED 4K Ultra HD TV X93L Series: BRAVIA XR Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR65X93L- 2023 Model,,5.0 out of 5 stars,2 ratings,In Stock
5,"Sony OLED 65 inch BRAVIA XR A80L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The Playstation® 5 XR65A80L- 2023 Model,Black",,4.4 out of 5 stars,23 ratings,In Stock
6,"Sony 75 Inch 4K Ultra HD TV X77L Series: LED Smart Google TV KD75X77L- 2023 Model, Black",,4.5 out of 5 stars,49 ratings,Only 1 left in stock - order soon
7,Sony 65 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR65X90L- 2023 Model,,4.5 out of 5 stars,11 ratings,In Stock
8,Sony 75 Inch 4K Ultra HD TV X85K Series: LED Smart Google TV with Dolby Vision HDR and Native 120HZ Refresh Rate KD75X85K- Latest Model,,4.5 out of 5 stars,889 ratings,Only 1 left in stock - order soon
9,"Sony 43 Inch 4K Ultra HD TV X77L Series: LED Smart Google TV KD43X77L- 2023 Model, Black",,4.5 out of 5 stars,49 ratings,
10,"Sony OLED 55 inch BRAVIA XR A80L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The Playstation® 5 XR55A80L- 2023 Model,Black",,4.4 out of 5 stars,23 ratings,In Stock
11,"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,3.9 out of 5 stars,606 ratings,Only 2 left in stock - order soon.
12,Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,168 ratings",In Stock
13,Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console,,4.2 out of 5 stars,"1,170 ratings",In Stock.
14,PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.7 out of 5 stars,30 ratings,Only 20 left in stock - order soon.
15,Tom Clancy's The Division 2 (PS4) - PlayStation 4,,4.4 out of 5 stars,284 ratings,In Stock
16,"Flagship Newest Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.7 out of 5 stars,185 ratings,Only 12 left in stock - order soon
17,RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.3 out of 5 stars,13 ratings,Only 17 left in stock - order soon
18,"Newest Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",,4.6 out of 5 stars,566 ratings,Only 11 left in stock - order soon
19,"Uplay Newest Play-Station 4 Console PS.4 with One Wireless Controller, White (Playstation)",,4.8 out of 5 stars,7 ratings,Only 1 left in stock - order soon
20,PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,301 ratings",Only 10 left in stock - order soon.
21,PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,696 ratings",Only 2 left in stock - order soon
22,PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,502 ratings",Only 1 left in stock - order soon
23,PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,5.0 out of 5 stars,10 ratings,In Stock
24,PlayStation 4 Slim 1TB Console - Black (Renewed),,4.4 out of 5 stars,"1,323 ratings",Only 1 left in stock - order soon.
25,PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,301 ratings",Only 10 left in stock - order soon.
26,Sony PlayStation 2 Console - Black (Renewed),,4.3 out of 5 stars,"1,228 ratings",In stock.
27,Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console,,4.2 out of 5 stars,"1,170 ratings",In Stock.
28,PlayStation 2 Slim Console PS2 (Renewed),,4.1 out of 5 stars,"1,040 ratings",Only 2 left in stock - order soon.
29,"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.6 out of 5 stars,359 ratings,Only 17 left in stock - order soon.
30,Playstation 2 Console - Black (Renewed),,4.3 out of 5 stars,322 ratings,In stock.
31,Sony - PlayStation 4 Pro Console (3002470) Jet Black - 1TB - Renewed,,4.3 out of 5 stars,228 ratings,Only 4 left in stock - order soon.
32,PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,625 ratings,In Stock.
33,PlayStation 4 Slim 1TB Console - Black (Renewed),,4.4 out of 5 stars,"1,323 ratings",Only 1 left in stock - order soon.
34,Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,168 ratings",In Stock
35,"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,320 ratings,Only 20 left in stock - order soon
36,PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,583 ratings",Not Available
37,Sony - PlayStation 4 Pro Console (3002470) Jet Black - 1TB - Renewed,,4.3 out of 5 stars,228 ratings,Only 4 left in stock - order soon.
38,PlayStation 4 Pro 1TB Limited Edition Console - Marvel's Spider-Man Bundle [Discontinued],,4.5 out of 5 stars,661 ratings,Only 6 left in stock - order soon
39,Sony PlayStation 4 Pro 1TB White (PS4),,4.4 out of 5 stars,951 ratings,Only 1 left in stock - order soon
